Metadata_cell_type,Metadata_treatment,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_Cells_Location_Center_X,Metadata_Cells_Location_Center_Y,UMAP0,UMAP1,UMAP_direction
failing,DMSO,localhost230405150001,B08,f11,800.2860040567952,925.841784989858,6.5146837,4.8912983,right
healthy,DMSO,localhost230405150001,E08,f14,618.3758809710258,343.7405050900548,1.3200121,8.948556,top
healthy,DMSO,localhost230405150001,C02,f00,636.2110091743119,674.271666518215,0.857913,8.796428,top1
healthy,DMSO,localhost230405150001,C02,f04,612.6690983780721,518.3812592959841,0.86475134,8.943674,top2
failing,drug_x,localhost230405150001,B09,f00,884.7903963414634,437.2721036585366,7.089754,4.4388213,right
healthy,DMSO,localhost230405150001,E08,f13,551.964247020585,488.3445287107259,7.230323,3.5389237,right
failing,drug_x,localhost230405150001,B09,f14,843.2083907924048,795.0946218309113,-0.12594159,6.425529,left
failing,drug_x,localhost230405150001,B09,f12,575.9720403468413,793.4229339939834,-0.14200324,6.9765973,left1
failing,drug_x,localhost230405150001,B09,f11,185.8344679200028,439.6544389968608,-0.32901877,6.9504266,left2
failing,DMSO,localhost230405150001,D08,f11,599.8507441597588,366.3005840241145,-2.100151,3.6031687,left
failing,DMSO,localhost230405150001,G07,f14,679.7106518282989,733.2832916950564,-1.5177276,3.149721,left1
failing,DMSO,localhost230405150001,G03,f09,472.6651330148056,801.5994219312216,-2.2855241,2.5296164,left2
failing,DMSO,localhost230405150001,G09,f12,151.94907407407408,403.4104030501089,-0.82005286,-0.26893947,bottom
failing,drug_x,localhost230405150001,B06,f08,840.5701622596154,267.27261117788464,0.8792104,0.80178744,bottom
healthy,DMSO,localhost230405150001,C05,f15,367.8760693641618,202.0113294797688,0.8810174,-0.4733481,bottom
