Metadata_WellRow	Metadata_WellCol	Metadata_heart_number	Metadata_cell_type	Metadata_heart_failure_type	Metadata_treatment	Metadata_Cells_Location_Center_X	Metadata_Cells_Location_Center_Y	Metadata_Image_Count_Cells	Metadata_ImageNumber	Metadata_Plate	Metadata_Well	Metadata_Cells_Number_Object_Number	Metadata_Cytoplasm_Parent_Cells	Metadata_Cytoplasm_Parent_Nuclei	Metadata_Nuclei_Number_Object_Number	Metadata_Site	UMAP0	UMAP1
B	2	9	failing	rejected	DMSO	716.1700908840539	177.1321949876067	40	1.0	localhost230405150001	B02	2.0	2.0	7.0	7.0	f00	-1.4431446	1.979682
B	2	9	failing	rejected	DMSO	528.6466230593427	196.95555205295926	40	1.0	localhost230405150001	B02	4.0	4.0	9.0	9.0	f00	-1.5388483	4.336444
B	2	9	failing	rejected	DMSO	341.52165463631314	269.5020359059782	40	1.0	localhost230405150001	B02	6.0	6.0	11.0	11.0	f00	1.1303247	4.711048
B	2	9	failing	rejected	DMSO	135.14192005466347	323.06908097027673	40	1.0	localhost230405150001	B02	7.0	7.0	12.0	12.0	f00	-0.8141884	4.0096283
B	2	9	failing	rejected	DMSO	826.2622061482821	346.9917872212176	40	1.0	localhost230405150001	B02	9.0	9.0	14.0	14.0	f00	-1.0714144	4.1618867
B	2	9	failing	rejected	DMSO	718.673487544484	367.8325919335706	40	1.0	localhost230405150001	B02	10.0	10.0	15.0	15.0	f00	-1.497855	2.4819925
B	2	9	failing	rejected	DMSO	468.7965496728138	375.85246876859014	40	1.0	localhost230405150001	B02	11.0	11.0	16.0	16.0	f00	6.9096394	4.6812067
B	2	9	failing	rejected	DMSO	919.6499613302398	425.90641918020106	40	1.0	localhost230405150001	B02	12.0	12.0	18.0	18.0	f00	-2.0263443	4.1343493
B	2	9	failing	rejected	DMSO	160.60232689666316	465.4291831623172	40	1.0	localhost230405150001	B02	14.0	14.0	20.0	20.0	f00	-2.198726	3.0056345
B	2	9	failing	rejected	DMSO	566.6453772856039	456.14531290239506	40	1.0	localhost230405150001	B02	15.0	15.0	21.0	21.0	f00	-0.5476168	3.9857054
B	2	9	failing	rejected	DMSO	707.6254543451922	505.00440577156076	40	1.0	localhost230405150001	B02	16.0	16.0	22.0	22.0	f00	-1.4791017	4.440667
B	2	9	failing	rejected	DMSO	317.6735233062842	468.5921494621627	40	1.0	localhost230405150001	B02	17.0	17.0	23.0	23.0	f00	-2.1246405	2.8911526
B	2	9	failing	rejected	DMSO	194.70552685446924	547.6754069597426	40	1.0	localhost230405150001	B02	18.0	18.0	24.0	24.0	f00	-0.94089985	1.6042713
B	2	9	failing	rejected	DMSO	840.4525220407573	540.44695765284	40	1.0	localhost230405150001	B02	19.0	19.0	26.0	26.0	f00	-2.1301143	2.6633
B	2	9	failing	rejected	DMSO	332.8286644029428	607.6595217883419	40	1.0	localhost230405150001	B02	21.0	21.0	28.0	28.0	f00	-2.3794892	1.9852811
B	2	9	failing	rejected	DMSO	257.3940175038964	672.0212804220117	40	1.0	localhost230405150001	B02	23.0	23.0	32.0	32.0	f00	-2.0344734	1.5872096
B	2	9	failing	rejected	DMSO	654.6599959489569	676.1394369050031	40	1.0	localhost230405150001	B02	24.0	24.0	33.0	33.0	f00	-2.3154423	2.9106815
B	2	9	failing	rejected	DMSO	439.4930544954969	691.4148221645551	40	1.0	localhost230405150001	B02	25.0	25.0	35.0	35.0	f00	-0.94475394	4.959218
B	2	9	failing	rejected	DMSO	120.32509351114003	805.6630346397789	40	1.0	localhost230405150001	B02	28.0	28.0	39.0	39.0	f00	-0.6466725	3.865073
B	2	9	failing	rejected	DMSO	329.7238566374001	808.4347398768182	40	1.0	localhost230405150001	B02	29.0	29.0	40.0	40.0	f00	-2.0996146	2.9296916
B	2	9	failing	rejected	DMSO	754.3074182349717	799.7870454960716	40	1.0	localhost230405150001	B02	30.0	30.0	41.0	41.0	f00	-1.6732298	3.1040418
B	2	9	failing	rejected	DMSO	664.0499839537869	837.3744383825417	40	1.0	localhost230405150001	B02	32.0	32.0	43.0	43.0	f00	-1.6040405	1.9637759
B	2	9	failing	rejected	DMSO	520.770840208567	862.4165401623655	40	1.0	localhost230405150001	B02	33.0	33.0	44.0	44.0	f00	-1.7218019	3.514275
B	2	9	failing	rejected	DMSO	758.0799071858459	908.3389891958524	40	1.0	localhost230405150001	B02	34.0	34.0	45.0	45.0	f00	-1.5438875	3.463649
B	2	9	failing	rejected	DMSO	90.76956118925293	901.0221510991324	40	1.0	localhost230405150001	B02	35.0	35.0	46.0	46.0	f00	-1.5038548	1.7934223
B	2	9	failing	rejected	DMSO	877.4673510122612	976.7364699173082	40	1.0	localhost230405150001	B02	39.0	39.0	51.0	51.0	f00	-2.8657198	1.7466475
B	2	9	failing	rejected	DMSO	546.5124045801526	998.3734096692112	40	1.0	localhost230405150001	B02	40.0	40.0	52.0	52.0	f00	0.5594996	0.88933396
B	2	9	failing	rejected	DMSO	243.87394628504214	214.699274652029	33	2.0	localhost230405150001	B02	2.0	2.0	5.0	5.0	f01	-0.64855564	4.0696654
B	2	9	failing	rejected	DMSO	111.4461743772242	328.74443950177937	33	2.0	localhost230405150001	B02	3.0	3.0	7.0	7.0	f01	-1.5258218	2.2651672
B	2	9	failing	rejected	DMSO	272.0811974047665	339.97831952206593	33	2.0	localhost230405150001	B02	4.0	4.0	8.0	8.0	f01	-2.606778	2.2339678
B	2	9	failing	rejected	DMSO	48.50630136986302	355.95287671232876	33	2.0	localhost230405150001	B02	5.0	5.0	9.0	9.0	f01	4.777988	4.372654
B	2	9	failing	rejected	DMSO	387.98692573088795	405.77020156164883	33	2.0	localhost230405150001	B02	6.0	6.0	12.0	12.0	f01	-1.168591	4.148297
B	2	9	failing	rejected	DMSO	282.49926650366746	546.0795843520782	33	2.0	localhost230405150001	B02	10.0	10.0	17.0	17.0	f01	-0.83822495	4.993999
B	2	9	failing	rejected	DMSO	425.87556512378904	565.475565123789	33	2.0	localhost230405150001	B02	11.0	11.0	18.0	18.0	f01	-1.2003176	1.616739
B	2	9	failing	rejected	DMSO	871.771027649387	536.8240015499156	33	2.0	localhost230405150001	B02	12.0	12.0	19.0	19.0	f01	-2.4744856	3.721866
B	2	9	failing	rejected	DMSO	561.3475614282532	589.8886496919308	33	2.0	localhost230405150001	B02	13.0	13.0	20.0	20.0	f01	-2.0626986	1.3996803
