WellRow,WellCol,well_position,heart_number,treatment,dose,dose_unit
A,1,A01,3,drug_x,5,uM
A,2,A02,3,drug_x,10,uM
A,3,A03,3,drug_x,10,uM 
A,4,A04,3,DMSO,0,None
A,5,A05,8,drug_x,5,uM 
A,6,A06,8,drug_x,10,uM 
A,7,A07,8,drug_x,10,uM 
A,8,A08,8,DMSO,0,None 
B,1,B01,3,drug_x,5,uM 
B,2,B02,3,drug_x,3.33,uM 
B,3,B03,3,drug_x,3.33,uM 
B,4,B04,3,DMSO,0,None 
B,5,B05,8,drug_x,5,uM 
B,6,B06,8,drug_x,3.33,uM 
B,7,B07,8,drug_x,3.33,uM 
B,8,B08,8,DMSO,0,None 
C,1,C01,3,drug_x,5,uM 
C,2,C02,3,drug_x,1.11,uM 
C,3,C03,3,drug_x,1.11,uM 
C,4,C04,3,DMSO,0,None 
C,5,C05,8,drug_x,5,uM 
C,6,C06,8,drug_x,1.11,uM 
C,7,C07,8,drug_x,1.11,uM 
C,8,C08,8,DMSO,0,None 
D,1,D01,3,drug_x,5,uM 
D,2,D02,3,drug_x,0.37,uM 
D,3,D03,3,drug_x,0.37,uM 
D,4,D04,3,DMSO,0,None 
D,5,D05,8,drug_x,5,uM 
D,6,D06,8,drug_x,0.37,uM 
D,7,D07,8,drug_x,0.37,uM 
D,8,D08,8,DMSO,0,None 
E,1,E01,3,drug_x,5,uM 
E,2,E02,3,drug_x,0.12,uM 
E,3,E03,3,drug_x,0.12,uM
E,4,E04,3,DMSO,0,None 
E,5,E05,8,drug_x,5,uM 
E,6,E06,8,drug_x,0.12,uM 
E,7,E07,8,drug_x,0.12,uM 
E,8,E08,8,DMSO,0,None 
F,1,F01,3,drug_x,5,uM 
F,2,F02,3,drug_x,0.04,uM 
F,3,F03,3,drug_x,0.04,uM 
F,4,F04,3,DMSO,0,None 
F,5,F05,8,drug_x,5,uM 
F,6,F06,8,drug_x,0.04,uM 
F,7,F07,8,drug_x,0.04,uM 
F,8,F08,8,DMSO,0,None 
G,1,G01,3,drug_x,5,uM 
G,2,G02,3,drug_x,0.014,uM 
G,3,G03,3,drug_x,0.014,uM 
G,4,G04,3,DMSO,0,None 
G,5,G05,8,drug_x,5,uM 
G,6,G06,8,drug_x,0.014,uM 
G,7,G07,8,drug_x,0.014,uM 
G,8,G08,8,DMSO,0,None 
H,1,H01,3,drug_x,5,uM 
H,2,H02,3,drug_x,0.005,uM 
H,3,H03,3,drug_x,0.005,uM 
H,4,H04,3,DMSO,0,None 
H,5,H05,8,drug_x,5,uM 
H,6,H06,8,drug_x,0.005,uM 
H,7,H07,8,drug_x,0.005,uM 
H,8,H08,8,DMSO,0,None
